range [25137,27202] : 104177726
range [68692,70171] : 75896286
range [54723,78288] : 180826877
range [12851,42794] : 499167962
range [22349,26905] : 227459322
range [595,22720] : 105922562
range [50296,57809] : 376199840
range [40451,59816] : 970085530
range [67177,68251] : 52624362
range [76373,87281] : 547944061
range [1349,53642] : 616391188
range [47353,53633] : 315304091
range [52840,67996] : 760885063
range [7295,22094] : 742251992
range [36996,74174] : 865146087
range [74231,78315] : 204012796
range [65900,73464] : 380287182
range [43327,53759] : 522437038
range [82848,86246] : 170430412
range [18545,19770] : 60549019
range [49511,78440] : 450787734
range [65637,78678] : 652100932
range [36479,62209] : 288908614
range [36553,71190] : 738157126
range [58032,60457] : 123846317
range [19647,52049] : 619773676
range [72615,86291] : 686391444
range [77878,84407] : 329442999
range [33363,74338] : 54495769
range [46270,81723] : 778697542
range [32147,36002] : 194644811
range [88945,89137] : 9195460
range [12142,50878] : 940339941
range [45219,48952] : 185362014
range [69739,77153] : 370935066
range [11931,50909] : 952429196
range [60961,83196] : 116565549
range [54523,68912] : 721384039
range [58254,64902] : 335541571
range [13053,73441] : 26156623
range [17288,34627] : 864352522
range [5682,16374] : 535887439
range [43906,51943] : 400535531
range [34307,71031] : 842272955
range [20452,84390] : 203432006
range [36379,46458] : 505534683
range [27109,35307] : 409507094
range [30244,78295] : 406643255
range [45964,53429] : 373133123
range [25320,31939] : 330893854
range [43745,47887] : 206681318
range [81801,87542] : 285423663
range [83126,89353] : 309699009
range [23551,29130] : 283020291
range [45451,49816] : 216541867
range [72374,72693] : 15772389
range [85939,86733] : 38759295
range [69667,74408] : 237830955
range [67296,79069] : 587721491
range [23990,55965] : 600686879
range [55506,72115] : 834824385
range [77683,82263] : 232647097
range [40583,70860] : 519965335
range [70951,72723] : 88349892
range [75580,86386] : 545017202
range [29408,55872] : 322694403
range [35473,42891] : 371797980
range [40754,58220] : 872271366
range [80711,86530] : 291613240
range [72238,82703] : 524412455
range [2378,56659] : 715425523
range [75215,83796] : 430999389
range [15774,89121] : 674004970
range [21886,37390] : 774342715
range [45031,87729] : 139478131
range [52133,61801] : 485809108
range [80488,84757] : 212559264
range [26906,29984] : 155615935
range [29794,84649] : 747804407
range [44754,49108] : 216857023
range [69006,69329] : 16529524
range [30212,80388] : 514678476
range [45697,45997] : 15343300
range [32854,79264] : 327818609
range [59709,68484] : 440423706
range [34061,71418] : 873782843
range [47201,71848] : 237789735
range [21184,34155] : 647667178
range [73307,76754] : 171811484
range [87331,87929] : 28920656
range [36712,58513] : 91858203
range [18782,87925] : 461728556
range [29545,48942] : 968378030
range [45271,59043] : 687941347
range [55320,67844] : 628587321
range [38568,69709] : 562065056
range [40866,46227] : 268848955
range [14106,27862] : 689621383
range [47529,71645] : 210143135
range [20484,68638] : 410683401
range [35810,39078] : 162824025
range [79871,80375] : 26010607
range [37116,79474] : 124749101
range [74572,83251] : 436325809
range [17565,84937] : 373673078
range [6694,66867] : 15771656
range [15350,49534] : 710440375
range [63257,76862] : 681950246
range [57604,80490] : 149979912
range [2676,71942] : 470186739
range [6112,32824] : 335721540
range [64407,71539] : 360170571
range [23690,36287] : 631765260
range [67918,72090] : 210484899
range [20521,82193] : 91621691
range [28656,43579] : 746480868
range [55417,83649] : 415886498
range [32072,78924] : 348442593
range [65383,77025] : 582974050
range [85209,88685] : 174184519
range [33501,39323] : 292285745
range [17205,73362] : 811910918
range [31487,62833] : 570085735
range [24396,65271] : 48572118
range [34846,47839] : 651727162
range [60703,62231] : 75377954
range [53357,69515] : 809384676
range [53168,85360] : 614645544
range [79769,81365] : 81638525
range [39788,85546] : 293816920
range [24884,83276] : 928875839
range [34120,53899] : 991047674
range [21005,38967] : 896912400
range [88656,89166] : 25225477
range [46395,62671] : 815032219
range [70432,89137] : 935843219
range [83676,84932] : 62253707
range [8942,22968] : 702359832
range [31661,51863] : 11440842
range [74023,84974] : 549261221
range [89149,89295] : 7268365
range [2546,71977] : 478384096
range [83741,84908] : 57962517
range [64587,71243] : 335560402
range [50974,63252] : 615573514
range [77602,83625] : 303301712
range [77809,85275] : 375958343
range [69545,70212] : 34923263
range [53461,70839] : 872626864
range [11768,82871] : 565781624
range [66064,85983] : 829181
range [77563,82972] : 273037901
range [41922,79202] : 868024730
range [35175,72874] : 890996422
range [20897,58260] : 867238480
range [61191,67298] : 308345190
range [73360,86637] : 666398466
range [38634,44162] : 279150505
range [35305,48695] : 669848112
range [51799,63291] : 576421874
range [80880,87512] : 330971695
range [69662,87886] : 913244094
range [65203,76963] : 589099252
range [77933,86124] : 413810249
range [17329,58650] : 66011427
range [73926,84569] : 534938725
range [4630,7246] : 129616174
range [60201,72028] : 595435173
range [44100,56951] : 642111036
range [53821,72731] : 949520862
range [42600,78345] : 790623247
range [86746,87240] : 24371508
range [57908,62562] : 235393219
range [4842,62105] : 866888550
range [84431,88430] : 198714237
range [34226,48110] : 695300393
range [13231,45509] : 617984783
range [3682,12358] : 431832681
range [7458,37102] : 483623771
range [14218,85129] : 553262599
range [78549,80512] : 101067556
range [62560,73401] : 543960636
range [53492,86224] : 643051746
range [65524,85794] : 17843010
range [70578,82165] : 582566317
range [46240,89347] : 159364669
range [18241,27991] : 486210241
range [54540,61707] : 359153230
range [41552,78090] : 830275868
range [68410,70559] : 109603046
range [33750,63827] : 506682873
range [26521,69577] : 156795632
range [32662,87236] : 738348660
range [74638,82663] : 403667447
range [12087,79902] : 399187938
range [26253,33536] : 363758098
range [23733,39769] : 804728799
range [35715,40723] : 251027847
range [45793,47609] : 90109885
range [21719,23725] : 98865130
range [10936,27690] : 840101511
range [32596,70872] : 921967384
range [47181,56255] : 455794934
range [57652,74902] : 866116149
range [75666,76842] : 59697571
range [27458,48862] : 69664949
range [83013,86565] : 177867895
range [88002,89043] : 52763919
range [35068,50234] : 759241870
range [58574,81513] : 153554383
range [33315,89361] : 809553751
range [30377,57215] : 342990835
range [1448,21404] : 998567801
range [35729,43624] : 396191695
range [87243,88205] : 46367833
range [73672,82348] : 437310901
range [14347,82811] : 432906737
range [78627,79699] : 56239514
range [81711,82424] : 36142378
range [30997,60473] : 476014419
range [82712,88641] : 295733125
range [15246,60956] : 289250583
range [61514,72584] : 556558636
range [65760,72541] : 341359818
range [16816,61133] : 217775721
range [65395,81946] : 832837145
range [77915,87355] : 474352810
range [60893,75965] : 755144696
range [71412,74253] : 140994032
range [89142,89314] : 8350421
range [67525,74089] : 327304565
range [78570,87240] : 436266613
range [6227,50242] : 204295278
range [49572,87900] : 921862190
range [3548,82410] : 951593638
range [24747,67137] : 125295097
range [78028,79568] : 78469031
range [85228,88268] : 150530605
range [73872,75728] : 92338178
range [19895,20108] : 10600553
range [81468,88897] : 370531831
range [68351,86744] : 923286321
range [59165,83370] : 216702937
range [70970,82033] : 556325357
range [74001,87589] : 681063583
range [47952,71969] : 205408434
range [31807,40141] : 417907421
range [39627,61937] : 117721228
range [80196,84510] : 216505819
range [40457,46081] : 284139389
range [27369,85113] : 892976416
range [86821,86957] : 6761644
range [40585,60646] : 6469616
range [52736,85152] : 625205311
range [47375,62457] : 756052769
range [80302,83202] : 146090567
range [69755,85985] : 815443030
range [71168,85495] : 717400938
range [83811,88190] : 217119735
range [12074,75451] : 175594587
range [17262,66965] : 488932771
range [48917,78778] : 497017963
range [57815,87771] : 502685131
range [58848,76834] : 902932196
range [87322,89285] : 97586408
range [43507,62964] : 974850386
range [77548,77719] : 8565468
range [23140,62081] : 952235132
range [80659,89223] : 427332834
range [1090,70133] : 457606244
range [9506,13330] : 192356075
range [19044,75480] : 824599457
range [74211,88157] : 698446378
range [9658,74819] : 265479457
range [9224,18333] : 459394437
range [11546,38305] : 338704451
range [25130,88852] : 194341456
range [71547,78146] : 328877664
range [36307,50286] : 699626675
range [323,44816] : 226488420
range [11050,43296] : 615739803
range [4185,38351] : 707998973
range [24341,79879] : 783253441
range [54898,77640] : 138621397
range [61869,86065] : 215149858
range [16242,71779] : 782061134
range [70371,72549] : 108694299
range [20554,67559] : 354669412
range [48572,58519] : 498235918
range [43373,54940] : 580398615
range [22191,35821] : 682310110
range [7993,11165] : 158947737
range [82610,86685] : 203251597
range [25030,64478] : 976094656
range [13790,31497] : 886802719
range [37251,84740] : 382310024
range [72152,73293] : 55414173
range [80233,80516] : 14973423
range [50295,59796] : 476242747
range [43878,83257] : 974270753
range [77735,82610] : 246930810
range [47624,61154] : 677366835
range [8442,45443] : 854529752
range [63352,80683] : 870961629
range [5610,58320] : 636665194
range [88060,89098] : 52312295
range [41955,74983] : 655133757
range [28980,56009] : 351016113
range [72094,86350] : 714610680
range [69142,74396] : 263128917
range [69665,83370] : 688492849
range [56430,63532] : 355829542
range [76621,79927] : 166809987
range [58101,67863] : 492905954
range [21688,23249] : 75961147
range [69793,86438] : 835771694
range [86248,88015] : 86091326
range [38848,41619] : 140368692
range [5103,71939] : 349066197
range [77567,88900] : 569058434
range [10516,15264] : 238817678
range [66646,69329] : 133822825
range [52013,57804] : 289737302
range [22901,72643] : 493698179
range [24661,88618] : 205846353
range [32659,82524] : 503689966
range [23215,56899] : 688354959
range [29420,41457] : 600744548
range [38112,55328] : 865046191
range [50580,55001] : 223549996
range [74936,88661] : 687860795
range [47714,72425] : 239712154
range [14221,84903] : 542235377
range [74500,82580] : 406514232
range [24476,84050] : 986913894
range [71536,81172] : 483557539
range [89354,89362] : 466394
range [88241,88642] : 21493996
range [54111,59525] : 270145287
range [46262,73694] : 373943038
range [8916,86271] : 878258542
range [30582,62290] : 586915579
range [84731,87679] : 147034908
range [75438,78826] : 169619367
range [75770,75888] : 5983338
range [40135,43716] : 179976024
range [34120,85816] : 592766490
range [6995,17203] : 513706471
range [25919,61954] : 805717801
range [73822,85639] : 594328492
range [25623,50574] : 249421080
range [68381,83803] : 774679945
range [2012,50860] : 444049532
range [53431,85896] : 628782241
range [12803,62362] : 483275522
range [22947,54927] : 603754608
range [84248,88395] : 206419525
range [30168,68952] : 941575243
range [1774,66455] : 236569635
range [54062,80596] : 331942957
range [75658,89204] : 680421701
range [26207,31349] : 258445973
range [8161,19065] : 548804497
range [88687,89285] : 29287414
range [1736,38439] : 833340418
range [12891,19036] : 310694676
range [1392,33860] : 623685544
range [48782,51571] : 140448072
range [38546,41990] : 174688154
range [71438,74045] : 129109842
range [60308,72663] : 620887032
range [16384,53282] : 847649853
range [7193,18056] : 546715571
range [83645,85855] : 111920870
range [37288,53442] : 811990688
range [76573,76755] : 9398804
range [87139,89017] : 93633757
range [58884,78479] : 983423271
range [85603,87216] : 79949387
range [80995,86537] : 278268934
range [56974,75407] : 923646841
range [6496,45619] : 961108408
range [55938,72877] : 850893754
range [5299,7757] : 122308209
range [68130,82258] : 710318683
range [12459,45023] : 633049404
range [15669,72961] : 870953793
range [68421,73117] : 236839631
range [23479,57866] : 722646179
range [77225,86746] : 478712794
range [69468,72366] : 146823582
range [21236,23819] : 127020398
range [408,50400] : 500982754
range [16977,28176] : 560743427
range [88267,89296] : 52637759
range [67246,77172] : 495359827
range [82968,85321] : 117212988
range [83786,87854] : 202159426
range [32140,51523] : 971998700
range [22453,66034] : 183364432
range [26030,85891] : 1998548
range [45228,72390] : 362423430
range [4327,80626] : 822792968
range [75142,83203] : 404959867
range [71945,83907] : 598590046
range [41498,47352] : 292457176
range [74090,81472] : 372381583
range [71495,81353] : 494283593
range [8109,39318] : 563275122
range [68259,71581] : 167841835
range [47543,53280] : 287825254
range [74893,75026] : 7153315
range [87556,87680] : 6187316
range [13838,69851] : 806485365
range [4155,36531] : 619412273
range [4829,77341] : 631987994
range [26978,46880] : 996719903
range [76645,86160] : 480182048
range [1516,30233] : 436610707
range [67728,85532] : 891981671
range [57995,63400] : 272495274
range [86603,87546] : 45980993
range [85578,87068] : 74468832
range [14603,78952] : 223552626
range [66392,83571] : 862057143
range [724,52323] : 582252096
range [4224,25602] : 69087781
range [83001,86879] : 193890023
range [84240,85619] : 69750376
range [56410,56923] : 26253373
range [28554,63401] : 744108423
range [88995,89248] : 12260380
range [47875,62489] : 732097094
range [45859,86570] : 39871369
range [59019,82553] : 183732187
range [17815,26132] : 414379351
range [68003,84078] : 806311096
range [51421,72268] : 47161047
range [80165,83193] : 152355493
range [82765,84406] : 81489620
range [45557,71886] : 319839751
range [47621,66964] : 970159043
range [28875,38221] : 464005656
range [4744,76164] : 577097050
range [66036,75782] : 487412899
range [64123,89300] : 262909184
range [8598,51186] : 133596173
range [17617,33478] : 790675996
range [36084,56161] : 6561270
range [13131,70181] : 860274083
range [51755,73172] : 74849819
range [75650,77651] : 101567324
range [19315,45840] : 328645171
range [6304,38053] : 589084675
range [14905,82183] : 374011408
range [81328,85847] : 226819009
range [50915,60434] : 477000211
range [679,74490] : 696820974
range [37584,49682] : 607724128
range [68708,71949] : 165225727
range [68791,88382] : 982003396
range [51068,51908] : 41473176
range [49583,63663] : 705653063
range [84809,87815] : 149577006
range [31542,79171] : 386176772
range [57013,66956] : 499822072
range [26423,35132] : 435629773
range [58685,68144] : 475671725
range [16872,65325] : 426562721
range [58528,66914] : 422969283
range [87690,89312] : 81241423
range [80412,82359] : 98754504
range [7791,75302] : 383077910
range [75605,82138] : 332020564
range [84526,89175] : 231660767
range [59250,87501] : 418185078
range [74586,88833] : 714337698
range [55750,56658] : 45263430
range [52325,86792] : 729503062
range [15717,20769] : 253541044
range [27442,55047] : 383854281
range [60621,83245] : 135362685
range [125,76918] : 845002841
range [10604,70099] : 982040467
range [23879,34345] : 524409413
range [72900,74183] : 62711958
range [75397,78806] : 170477272
range [78733,87654] : 447991505
range [79924,87277] : 368742884
range [5693,16616] : 547859534
range [15018,41170] : 311290225
range [81246,85305] : 202289312
range [20751,43502] : 139026704
range [23563,26265] : 136886916
range [11050,27283] : 814260847
range [79501,88849] : 468943065
range [81835,86640] : 239848794
range [54492,68632] : 708258025
range [2926,48888] : 299158847
range [56738,86122] : 475757510
range [33919,84066] : 515278495
range [52731,72892] : 11719841
range [80938,89047] : 405718305
range [37261,85175] : 403835815
range [6108,51633] : 280143696
range [9063,66803] : 894669298
range [39218,80134] : 52210702
range [11173,72461] : 72955380
range [19653,61467] : 94033027
range [21179,43555] : 120483816
range [7392,86258] : 954896847
range [34504,81088] : 337865432
range [85205,87680] : 123303542
range [47846,61247] : 670684164
range [56724,81147] : 226620927
range [25827,28283] : 125245269
range [60667,69987] : 467398225
range [76854,78227] : 68772620
range [5967,10599] : 231713770
range [72530,76978] : 221029152
range [49174,50838] : 83699736
range [64675,72884] : 413104698
range [71722,77346] : 280853201
range [58348,72744] : 725444945
range [65791,79319] : 677978827
range [22423,32418] : 498551384
range [73043,84268] : 562212301
range [65645,69590] : 197542790
range [35620,52842] : 863891260
range [44694,84160] : 978746777
range [72063,88301] : 810858618
range [15143,34582] : 972170676
range [2799,26137] : 166445208
range [5504,67536] : 109198284
range [79175,86028] : 345562833
range [74633,83483] : 444495430
range [51793,79202] : 374482159
range [49268,64129] : 743985515
range [3430,27327] : 195938491
range [81473,85920] : 222907854
range [87276,87537] : 12214766
range [12827,87334] : 735292295
range [24740,66313] : 84269686
range [46148,87131] : 53405703
range [48666,51470] : 141623627
range [21150,76030] : 748264022
range [31930,76996] : 259329889
range [22259,78892] : 837096532
range [39471,59175] : 985909109
range [73238,75044] : 90487781
range [52919,65659] : 638625666
range [76386,80931] : 229641673
range [88174,89141] : 49396472
range [54957,83481] : 429706596
range [75521,82845] : 369965046
range [31644,75787] : 211406339
range [46083,79612] : 679629136
range [84671,85339] : 33542374
range [47414,81429] : 706814516
range [53133,81795] : 438421230
range [26119,30937] : 242254289
range [53922,69377] : 773891885
range [19730,30059] : 517990341
range [62486,68977] : 324978175
range [34757,70130] : 774550593
range [62860,64602] : 86771039
range [40568,63424] : 145411537
range [23420,66309] : 150868900
range [6964,38678] : 587662107
range [63393,89082] : 288167270
range [29514,62366] : 643657230
range [88725,88733] : 426844
range [37066,40322] : 164879368
range [82679,88289] : 278205501
range [53650,74220] : 30281183
range [6602,70895] : 223977027
range [6016,74518] : 432999181
range [47966,86415] : 928868698
range [75449,76652] : 60785649
range [43562,86276] : 142273010
range [14921,84844] : 504791759
range [40941,49077] : 405857394
range [29599,47422] : 891070797
range [32757,61396] : 438223974
range [22614,53115] : 529346100
range [82538,88405] : 291337406
range [85016,86694] : 85269368
range [33508,64404] : 548579386
range [82885,86858] : 198657196
range [23835,80409] : 837460578
range [38779,80403] : 88743271
range [62014,88170] : 310408376
range [4825,49800] : 251958071
range [12872,75890] : 157679034
range [27488,43108] : 782413202
range [10087,21791] : 587488378
range [66586,81714] : 759687672
range [7576,61956] : 725736971
range [11894,53215] : 71929888
range [30160,87643] : 879051316
range [73918,85470] : 579620442
range [40245,53083] : 643586081
range [61235,67030] : 292525147
range [5877,16297] : 523392825
range [18144,43988] : 293633030
range [70782,80529] : 488693287
range [8857,88679] : 804239
range [70116,73623] : 174866044
range [45119,80295] : 763068842
range [13259,13792] : 27412243
range [76269,77725] : 73738149
range [58914,67382] : 428047674
range [74617,79191] : 228825146
range [65870,83761] : 898113542
range [75807,85275] : 476138169
range [71868,73136] : 63067971
range [22556,78432] : 800094430
range [77634,84386] : 339525925
range [57710,88431] : 540103451
range [55584,82209] : 336963268
range [73642,76057] : 120167628
range [14830,61069] : 317133044
range [50490,70337] : 996763426
range [17399,69958] : 632305757
range [73833,85681] : 595840266
range [64843,86088] : 67307870
range [20910,51921] : 551667553
range [58607,87885] : 467983737
range [51664,71086] : 975750775
range [42815,76295] : 677001615
range [45780,84192] : 924343389
range [76824,77754] : 46665689
range [7970,45152] : 864238947
range [469,61444] : 53115124
range [64474,76547] : 605445067
range [84696,88805] : 206150300
range [45210,72347] : 361188003
range [23601,27611] : 203816940
range [15204,87019] : 599424141
range [76819,76867] : 2485684
range [61553,77015] : 774907629
range [45684,86609] : 50259071
range [62119,79795] : 886693308
range [32264,34937] : 135652855
range [79313,88971] : 484540593
range [67256,67740] : 24212322
range [65161,67840] : 135496697
range [28094,86013] : 903197460
range [36066,82841] : 346010070
range [86725,87740] : 49671249
range [53991,80280] : 318156754
range [17801,73409] : 784710100
range [48628,81212] : 635365461
range [36495,80739] : 219458330
range [33777,64055] : 516464427
range [18662,40884] : 111912143
range [52704,64425] : 586232772
range [32202,53981] : 93904557
range [12164,32821] : 34165922
range [13881,51030] : 860690148
range [11559,85851] : 725497325
range [8484,60309] : 596596071
range [36068,63854] : 392042877
range [40039,86818] : 344958139
range [5715,32952] : 362019156
range [17525,42454] : 247491183
range [87600,88188] : 28432531
range [44210,72946] : 440260400
range [85452,87839] : 118859810
range [79808,89142] : 467121127
range [73272,84020] : 539159158
range [82811,85001] : 107747091
range [10267,56864] : 335072010
range [5367,89124] : 196159652
range [52285,83541] : 568107863
range [23295,25179] : 95423299
range [63015,81603] : 933978581
range [84930,88719] : 190333223
range [65612,87733] : 107920201
range [53713,65070] : 568261477
range [56516,74332] : 893341627
range [87862,89074] : 61511765
range [47692,76639] : 449884049
range [17067,36285] : 960828676
range [48949,53611] : 234919249
range [972,72853] : 601030556
range [27575,62425] : 745247389
range [19271,56614] : 868007207
range [27106,82125] : 759831572
range [28893,85476] : 833433584
range [7958,57482] : 481297483
range [50103,68541] : 923454044
range [11378,88982] : 889953615
range [76963,88270] : 565924401
range [14910,29384] : 727731607
range [32145,39459] : 367698732
range [37764,85244] : 381795336
range [19141,72196] : 658169886
range [41066,52668] : 580109557
range [9322,24536] : 761234329
range [43542,82682] : 962160188
range [24331,57987] : 684620629
range [59539,63380] : 193141663
range [48377,73338] : 252301414
range [51468,61051] : 480486031
range [21986,76285] : 720104911
range [49408,86149] : 844243285
range [45551,62825] : 864225389
range [48266,61230] : 649836126
range [88196,88596] : 21370960
range [44171,51156] : 348825254
range [31639,87768] : 812098788
range [41175,47989] : 340409063
range [29602,77653] : 405444852
range [14720,24600] : 493864084
range [31538,60926] : 472269682
range [59457,77947] : 927526356
range [35446,79246] : 195359695
range [75986,79015] : 151672373
range [4194,26277] : 104988440
range [56215,74651] : 923802197
range [13675,83528] : 501220619
range [35354,81965] : 339198491
range [88555,88778] : 11977641
range [20232,32694] : 619893584
range [49237,65009] : 790026372
range [75657,86031] : 523004212
range [49957,62671] : 637621671
range [77576,77747] : 8342433
range [42396,76573] : 711438402
range [67865,84151] : 815765762
range [85196,86958] : 89024266
range [882,76291] : 775711386
range [43684,50254] : 327622289
range [49544,89319] : 993191433
range [71346,75523] : 206972077
range [18495,24014] : 274045404
range [45212,48081] : 142878413
range [69008,89015] : 3061517
range [60721,72631] : 597726745
range [44650,64819] : 9203792
range [81082,84524] : 172060259
range [83344,85627] : 114121889
range [59094,64370] : 264963021
range [78818,79991] : 60616118
range [77272,89240] : 599487989
range [50380,87689] : 869767764
range [6626,88026] : 78606671
range [44920,58695] : 687874105
range [20369,24370] : 198708668
range [45213,62890] : 885444485
range [56415,86738] : 521480187
range [2889,22428] : 976862442
range [66486,66996] : 26619167
range [475,75040] : 734492136
range [24084,46383] : 118362397
range [55810,71423] : 784635714
range [28580,77498] : 449421696
range [7150,27864] : 38979036
range [7956,12119] : 207336712
range [80509,85036] : 224622580
range [37557,50543] : 652710889
range [88347,88687] : 18440314
range [4434,64022] : 982609104
range [70049,70989] : 48359127
range [76153,80462] : 218262123
range [85632,85943] : 16361897
range [36787,51661] : 746207011
range [3393,44312] : 49709082
range [88340,88547] : 11144759
range [14651,29092] : 726702332
range [39642,83695] : 208298378
range [6239,17697] : 577829624
range [61330,61417] : 5077451
range [85977,87718] : 85426218
range [74711,77602] : 144311366
range [51367,84609] : 666492612
range [70684,86682] : 801208863
range [13572,19224] : 285968242
range [39251,40548] : 64864437
range [43452,71934] : 428426504
range [41389,86231] : 248969741
range [30239,30840] : 29962054
range [26795,85410] : 937424454
range [70187,70819] : 32467155
range [1418,19943] : 927261197
range [13595,31512] : 898249012
range [6541,39215] : 636897203
range [13038,26462] : 673260424
range [40745,82690] : 103366099
range [66654,79700] : 654179174
range [45579,89083] : 178763796
range [27570,80097] : 632304183
range [47464,77736] : 516340203
range [47604,55849] : 411883418
range [39204,60538] : 69697711
range [52410,82635] : 516545578
range [60635,69162] : 427253916
range [45176,79771] : 733321207
range [72048,76229] : 206522992
range [75309,80891] : 281138639
range [84726,88071] : 167268690
range [45720,77642] : 597543842
range [48625,52761] : 208246222
range [34201,53027] : 944036826
range [7572,13347] : 290391344
range [11852,18611] : 342172514
range [44029,88190] : 209720658
range [48069,87011] : 952237370
range [10338,42407] : 608095898
range [64780,87913] : 159234940
range [12146,83469] : 576281676
range [52863,88940] : 808118143
range [12415,20929] : 429463288
range [74081,81575] : 378005571
range [60995,61325] : 15972153
range [11984,37886] : 297160218
range [37644,40896] : 166428511
range [41063,66513] : 274298867
range [82692,86619] : 195999746
range [82169,84448] : 112864185
range [29175,60446] : 564435502
range [31243,48895] : 882504681
range [27275,72505] : 267261809
range [61579,68397] : 341913702
range [10963,54582] : 186029176
range [32197,64088] : 598586109
range [67606,76841] : 461063205
range [11123,58020] : 348020284
range [28422,35868] : 371333679
range [84658,87087] : 121951871
range [14958,65729] : 544154203
range [7362,87634] : 22225714
range [56681,84204] : 380631962
range [52798,81145] : 422033306
range [79723,84733] : 250310321
range [7054,74806] : 395889406
range [23197,66049] : 149154256
range [47710,80410] : 639444924
range [56869,71683] : 744014973
range [17709,71762] : 707047898
range [58133,82393] : 220616357
range [14982,26830] : 593796302
range [47627,52789] : 257974038
range [11659,35975] : 219372835
range [40634,66367] : 289560375
range [78632,87146] : 428450545
range [43109,77455] : 719904571
range [14858,68264] : 676096948
range [5864,87882] : 109037122
range [89239,89341] : 4882046
range [53392,82545] : 462308929
range [68167,87773] : 981689884
range [74727,80072] : 268196580
range [6051,60386] : 722178958
range [80602,84248] : 181793843
range [49979,89303] : 970562878
range [18059,45170] : 357398849
range [13575,83176] : 489452440
range [10273,23444] : 659056965
range [64744,82179] : 876903882
range [40305,65465] : 261098737
range [67335,86188] : 945368814
range [53252,81621] : 423460641
range [38581,40838] : 114977009
range [31055,33139] : 102451513
range [31850,84755] : 651574174
range [22775,81808] : 960428487
range [66031,75467] : 471730545
range [48580,65638] : 855577183
range [86571,89374] : 139001623
range [58171,65706] : 380333820
range [65218,80656] : 775023033
range [14872,27464] : 631718641
range [86740,88353] : 79190037
range [83530,87156] : 180951007
range [30058,61018] : 549909060
range [70146,76958] : 340012224
range [63089,63551] : 22151856
range [86231,86967] : 35617554
range [20509,54720] : 713412619
range [83837,86862] : 151688156
range [82141,86624] : 222573189
range [73994,75578] : 77856175
range [3586,86496] : 154283789
range [28000,85930] : 904221772
range [53977,85184] : 563326567
range [2226,21299] : 954720527
range [84892,88843] : 198524222
range [10928,85886] : 758277933
range [78575,85745] : 361953197
range [26597,84238] : 889234343
range [68218,69730] : 75936621
range [41027,80763] : 991003803
range [13464,64908] : 577475893
range [4734,29234] : 229305425
range [35911,52023] : 806685866
range [28770,70864] : 109551075
range [1529,4522] : 148404518
range [9106,81988] : 655865414
range [77053,78884] : 91051291
range [64490,70278] : 292363609
range [28303,73225] : 250099247
range [36935,41100] : 211882801
range [11678,27489] : 794185636
range [77894,80990] : 156724757
range [8495,26337] : 894134222
range [40952,65638] : 235421365
range [13403,58400] : 252025501
range [18903,51135] : 612830687
range [2628,34769] : 607530022
range [85159,87244] : 105221013
range [41614,76262] : 734734946
range [66754,69112] : 117406595
range [22094,40162] : 905626451
range [58677,72909] : 716307577
range [1456,15936] : 722892608
range [45623,60265] : 731064905
range [28885,53417] : 227658536
range [74007,78963] : 247669225
range [54888,79960] : 256267897
range [14245,62251] : 405005549
range [72123,77210] : 252304251
range [13975,80668] : 344008243
range [2936,8617] : 282302004
range [15425,34709] : 964932262
range [3526,20079] : 829195675
range [81094,89233] : 406598575
range [26410,36989] : 528291686
range [39186,76595] : 874323004
range [525,3735] : 160360015
range [52272,64773] : 625954406
range [74337,74906] : 29151318
range [18148,77697] : 981224730
range [43309,61569] : 913227055
range [42575,45910] : 168168717
range [67826,79277] : 572845686
range [2225,75625] : 673900488
range [3205,40936] : 890009687
range [64541,81439] : 850185878
range [26275,77143] : 548790644
range [9391,72763] : 176989512
range [51421,59996] : 428361380
range [31954,34057] : 106267709
range [42933,75963] : 653507327
range [8808,50022] : 65382683
range [42245,58939] : 833077974
range [53857,72784] : 949341864
range [47169,85703] : 933543676
range [18546,83104] : 234482496
range [82127,83646] : 74180554
range [19459,56437] : 849241568
range [57341,59157] : 89865126
range [66487,82308] : 795142706
range [75308,84052] : 439639560
range [84632,88170] : 175847071
range [70784,75515] : 234548680
range [60002,83061] : 158702169
range [64315,85421] : 59767181
range [41550,63148] : 80829482
range [37934,60417] : 128034559
range [86246,88522] : 111744766
range [35378,36474] : 54390916
range [64706,78877] : 709693983
range [70755,83323] : 630163556
range [7072,51938] : 247892241
range [58393,87561] : 464395296
range [33669,52538] : 946280068
range [53815,85524] : 589574807
range [5915,44061] : 912955850
range [36874,61677] : 243630183
range [78231,89013] : 541209616
range [8206,16204] : 402026808
range [61201,68128] : 348791121
range [77551,84219] : 335148764
range [77293,80064] : 139515514
range [81916,85248] : 164864887
range [33963,66879] : 650514992
range [52069,79109] : 354473946
range [52157,88209] : 806359273
range [81545,84129] : 128254379
range [3941,77110] : 664518323
range [62332,82265] : 2118872
range [62233,87754] : 279825339
range [41266,59724] : 922424465
range [73910,74040] : 6599742
range [58499,76680] : 912443387
range [81767,85866] : 205588353
range [3132,24841] : 84688116
range [59481,75038] : 781905820
range [23874,79042] : 764425125
range [17186,59230] : 102082929
range [67921,69873] : 97677531
range [31912,84376] : 630699657
range [52936,68438] : 776114788
range [63368,83860] : 28752279
range [34005,78303] : 219543104
range [14657,51162] : 829366418
range [50225,58789] : 427499039
range [22035,50464] : 423740670
range [74747,85226] : 525489181
